Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,Total renewable energy,Electricity generation (GWh),1033.2,1005.3,1045.2,848.2,876.6,487.3,499.9,534.4,700.203,689.08,554.366,585.09,698.479,959.233,853.957,897.538,914.483,803.217,769.364,911.045
Curacao,Total renewable energy,Electricity generation (GWh),8,71.072,71.072,71.072,71.072,71.072,71.072,71.072,63.072,63.072,63.072,63.072,62.786,119.342,142.456,159.455,140.087,188.125,253.472,228.397
Dominica,Total renewable energy,Electricity generation (GWh),31.714,27.16,36.069,28.663,33.891,28.031,27.983,22.165,21.46,24.077,24.069,36.773,27.7,37.657,31.591,25.393,37.319,28.104,24.953,20.925
Dominican Rep,Total renewable energy,Electricity generation (GWh),1018.043,825.696,1065.631,1464.311,1655.785,1977.729,1850.74,1767.76,1470.726,1539.147,1505.834,1618.032,1976.066,2224.79,1627.628,1367.818,2099.263,2908.32,2747.176,2535.611
El Salvador,Total renewable energy,Electricity generation (GWh),1961.487,2130.262,2132.267,2491.903,2459.296,2809.226,3245.139,3265.701,3731.905,3261.01,3891.58,3848.424,3790.541,3790.555,3806,3560.722,3597.526,4169.573,4224.017,4334.553
Grenada,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0.337,0.408,0.518,0.666,0.735,1.068,1.165,1.562,2.537,3.309,3.52,3.966
Guadeloupe,Total renewable energy,Electricity generation (GWh),115.619,101.969,131.849,136.001,170.949,211.575,207.078,235.193,220.084,190.895,149.281,203.905,269.006,301.288,319.351,313.674,315.153,360.748,365.204,383.154
Guatemala,Total renewable energy,Electricity generation (GWh),3544.781,2993.999,2809.878,2926.914,3335.356,3680.359,4087.058,3987.478,4553.895,4198.993,4919.221,5156.455,5678.094,6142.217,6553.784,5978.931,6436.82,8041.358,8772.027,8413.137
Haiti,Total renewable energy,Electricity generation (GWh),283,283,260,255,260,265,271,154,181,207,177.441,121.926,222.714,143.182,92.428,85.856,74.073,74.536,102.388,102.563
Honduras,Total renewable energy,Electricity generation (GWh),2278.115,1917.504,1627.646,1784.035,1490.611,1873.884,2273.427,2526.414,2739.159,3201.156,3461.101,3266.469,3494.455,3407.422,3664.245,4512.948,5200.928,6156.966,6746.153,6408.419
Jamaica,Total renewable energy,Electricity generation (GWh),113.228,98.609,138.985,176.723,200.896,224.058,251.016,240.964,236.816,222.824,226.697,273.824,288.666,273.421,294.523,294.508,362.382,477.915,539.891,639.96
Martinique,Total renewable energy,Electricity generation (GWh),0,0,14.5,14.5,16,16,34.3,36,37.6,44,44,54.2,100.3,92.1,108,110.2,112.5,90.256,178.162,380.41
Montserrat,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,Total renewable energy,Electricity generation (GWh),414.8,450.7,644.77,750.49,810.11,1055.99,941.82,930.47,1194.42,1067.81,1353.3,1299.96,1722.166,2179.781,2424.584,2295.186,2420.17,2531.301,2738.561,2608.952
Panama,Total renewable energy,Electricity generation (GWh),3442.292,2522.389,3419.832,2845.643,3802.879,3747.24,3603.463,3728.726,3996.532,3920.367,4220.007,4125.071,5416.247,5192.654,5185.586,6727.563,7255.098,7945.411,8730.696,6168.224
Puerto Rico,Total renewable energy,Electricity generation (GWh),119.501,119.501,115,119.501,119.501,140.39,119.501,119.501,119.501,120.255,92.672,147.418,119.3,295.7,347.8,389.3,389.2,369.545,237.521,457.352
St Barth,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.041,0.041,0.041
St Kitts Nevis,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,5.576,5.433,7.7,8.168,9.874,9.874,10.663,10.663,10.663,10.663
St Lucia,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0.016,0.031,0.031,0.078,0.093,0.155,1.181,1.298,1.298,3.162,3.162
